V1,V2,dV,I,P
4.096187591552734,3.6000001430511475,0.4961874485015869,0.2480937242507934,0.1231009920252574
4.048680305480957,3.552492618560791,0.496187686920166,0.248093843460083,0.1231011103255923
4.022287368774414,3.515542507171631,0.5067448616027832,0.2533724308013916,0.1283951773804119
4.011730194091797,3.5313782691955566,0.4803519248962402,0.2401759624481201,0.1153689858757616
3.995894432067871,3.5472140312194824,0.4486804008483886,0.2243402004241943,0.1006570510527353
3.985337257385254,3.5736072063446045,0.4117300510406494,0.2058650255203247,0.0847608174649678
3.9747800827026367,3.5577712059021,0.4170088768005371,0.2085044384002685,0.0869482016652227
3.958944320678711,3.515542507171631,0.4434018135070801,0.22170090675354,0.0983025841106837
3.932551383972168,3.5313782691955566,0.4011731147766113,0.2005865573883056,0.080469934009784
3.921994209289551,3.4944281578063965,0.4275660514831543,0.21378302574157715,0.09140636419044768
